Tool,Workload,Description,Model,Run,Query,Iteration,Matches
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,ConnectedSegments,1,16
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,ConnectedSegments,2,15
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,ConnectedSegments,3,14
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,ConnectedSegments,4,13
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,ConnectedSegments,5,12
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,ConnectedSegments,6,11
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,PosLength,1,208
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,PosLength,2,188
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,PosLength,3,170
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,PosLength,4,153
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,PosLength,5,137
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,PosLength,6,124
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,RouteSensor,1,33
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,RouteSensor,2,30
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,RouteSensor,3,27
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,RouteSensor,4,25
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,RouteSensor,5,23
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,RouteSensor,6,21
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SemaphoreNeighbor,1,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SemaphoreNeighbor,2,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SemaphoreNeighbor,3,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SemaphoreNeighbor,4,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SemaphoreNeighbor,5,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SemaphoreNeighbor,6,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SwitchSet,1,8
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SwitchSet,2,8
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SwitchSet,3,8
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SwitchSet,4,8
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SwitchSet,5,8
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SwitchSet,6,8
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SwitchMonitored,1,2
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SwitchMonitored,2,2
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SwitchMonitored,3,2
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SwitchMonitored,4,2
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SwitchMonitored,5,2
Neo4j (Core API-CSV),Repair,,railway-repair-2,1,SwitchMonitored,6,2
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,ConnectedSegments,1,16
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,ConnectedSegments,2,15
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,ConnectedSegments,3,14
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,ConnectedSegments,4,13
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,ConnectedSegments,5,12
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,ConnectedSegments,6,11
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,PosLength,1,208
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,PosLength,2,188
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,PosLength,3,170
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,PosLength,4,153
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,PosLength,5,137
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,PosLength,6,124
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,RouteSensor,1,33
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,RouteSensor,2,30
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,RouteSensor,3,27
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,RouteSensor,4,25
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,RouteSensor,5,23
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,RouteSensor,6,21
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SemaphoreNeighbor,1,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SemaphoreNeighbor,2,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SemaphoreNeighbor,3,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SemaphoreNeighbor,4,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SemaphoreNeighbor,5,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SemaphoreNeighbor,6,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SwitchSet,1,8
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SwitchSet,2,8
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SwitchSet,3,8
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SwitchSet,4,8
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SwitchSet,5,8
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SwitchSet,6,8
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SwitchMonitored,1,2
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SwitchMonitored,2,2
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SwitchMonitored,3,2
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SwitchMonitored,4,2
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SwitchMonitored,5,2
Neo4j (Core API-CSV),Repair,,railway-repair-2,2,SwitchMonitored,6,2
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,ConnectedSegments,1,16
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,ConnectedSegments,2,15
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,ConnectedSegments,3,14
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,ConnectedSegments,4,13
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,ConnectedSegments,5,12
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,ConnectedSegments,6,11
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,PosLength,1,208
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,PosLength,2,188
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,PosLength,3,170
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,PosLength,4,153
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,PosLength,5,137
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,PosLength,6,124
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,RouteSensor,1,33
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,RouteSensor,2,30
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,RouteSensor,3,27
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,RouteSensor,4,25
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,RouteSensor,5,23
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,RouteSensor,6,21
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,SemaphoreNeighbor,1,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,SemaphoreNeighbor,2,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,SemaphoreNeighbor,3,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,SemaphoreNeighbor,4,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,SemaphoreNeighbor,5,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,SemaphoreNeighbor,6,6
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,SwitchSet,1,8
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,SwitchSet,2,8
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,SwitchSet,3,8
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,SwitchSet,4,8
Neo4j (Core API-CSV),Repair,,railway-repair-2,3,SwitchSet,5,8
