Tool,Workload,Description,Model,Run,Query,Iteration,Matches
VIATRA (Local Search),Inject,,railway-inject-8,1,ConnectedSegments,1,91
VIATRA (Local Search),Inject,,railway-inject-8,1,ConnectedSegments,2,101
VIATRA (Local Search),Inject,,railway-inject-8,1,ConnectedSegments,3,111
VIATRA (Local Search),Inject,,railway-inject-8,1,ConnectedSegments,4,121
VIATRA (Local Search),Inject,,railway-inject-8,1,ConnectedSegments,5,131
VIATRA (Local Search),Inject,,railway-inject-8,1,ConnectedSegments,6,141
VIATRA (Local Search),Inject,,railway-inject-8,1,PosLength,1,191
VIATRA (Local Search),Inject,,railway-inject-8,1,PosLength,2,201
VIATRA (Local Search),Inject,,railway-inject-8,1,PosLength,3,211
VIATRA (Local Search),Inject,,railway-inject-8,1,PosLength,4,221
VIATRA (Local Search),Inject,,railway-inject-8,1,PosLength,5,231
VIATRA (Local Search),Inject,,railway-inject-8,1,PosLength,6,241
VIATRA (Local Search),Inject,,railway-inject-8,1,RouteSensor,1,78
VIATRA (Local Search),Inject,,railway-inject-8,1,RouteSensor,2,88
VIATRA (Local Search),Inject,,railway-inject-8,1,RouteSensor,3,94
VIATRA (Local Search),Inject,,railway-inject-8,1,RouteSensor,4,100
VIATRA (Local Search),Inject,,railway-inject-8,1,RouteSensor,5,105
VIATRA (Local Search),Inject,,railway-inject-8,1,RouteSensor,6,111
VIATRA (Local Search),Inject,,railway-inject-8,1,SemaphoreNeighbor,1,21
VIATRA (Local Search),Inject,,railway-inject-8,1,SemaphoreNeighbor,2,55
VIATRA (Local Search),Inject,,railway-inject-8,1,SemaphoreNeighbor,3,99
VIATRA (Local Search),Inject,,railway-inject-8,1,SemaphoreNeighbor,4,129
VIATRA (Local Search),Inject,,railway-inject-8,1,SemaphoreNeighbor,5,155
VIATRA (Local Search),Inject,,railway-inject-8,1,SemaphoreNeighbor,6,149
VIATRA (Local Search),Inject,,railway-inject-8,1,SwitchSet,1,14
VIATRA (Local Search),Inject,,railway-inject-8,1,SwitchSet,2,18
VIATRA (Local Search),Inject,,railway-inject-8,1,SwitchSet,3,12
VIATRA (Local Search),Inject,,railway-inject-8,1,SwitchSet,4,4
VIATRA (Local Search),Inject,,railway-inject-8,1,SwitchSet,5,0
VIATRA (Local Search),Inject,,railway-inject-8,1,SwitchSet,6,0
VIATRA (Local Search),Inject,,railway-inject-8,1,SwitchMonitored,1,0
VIATRA (Local Search),Inject,,railway-inject-8,1,SwitchMonitored,2,10
VIATRA (Local Search),Inject,,railway-inject-8,1,SwitchMonitored,3,20
VIATRA (Local Search),Inject,,railway-inject-8,1,SwitchMonitored,4,29
VIATRA (Local Search),Inject,,railway-inject-8,1,SwitchMonitored,5,39
VIATRA (Local Search),Inject,,railway-inject-8,1,SwitchMonitored,6,46
VIATRA (Local Search),Inject,,railway-inject-8,2,ConnectedSegments,1,91
VIATRA (Local Search),Inject,,railway-inject-8,2,ConnectedSegments,2,101
VIATRA (Local Search),Inject,,railway-inject-8,2,ConnectedSegments,3,111
VIATRA (Local Search),Inject,,railway-inject-8,2,ConnectedSegments,4,121
VIATRA (Local Search),Inject,,railway-inject-8,2,ConnectedSegments,5,131
VIATRA (Local Search),Inject,,railway-inject-8,2,ConnectedSegments,6,141
VIATRA (Local Search),Inject,,railway-inject-8,2,PosLength,1,191
VIATRA (Local Search),Inject,,railway-inject-8,2,PosLength,2,201
VIATRA (Local Search),Inject,,railway-inject-8,2,PosLength,3,211
VIATRA (Local Search),Inject,,railway-inject-8,2,PosLength,4,221
VIATRA (Local Search),Inject,,railway-inject-8,2,PosLength,5,231
VIATRA (Local Search),Inject,,railway-inject-8,2,PosLength,6,241
VIATRA (Local Search),Inject,,railway-inject-8,2,RouteSensor,1,78
VIATRA (Local Search),Inject,,railway-inject-8,2,RouteSensor,2,88
VIATRA (Local Search),Inject,,railway-inject-8,2,RouteSensor,3,94
VIATRA (Local Search),Inject,,railway-inject-8,2,RouteSensor,4,100
VIATRA (Local Search),Inject,,railway-inject-8,2,RouteSensor,5,105
VIATRA (Local Search),Inject,,railway-inject-8,2,RouteSensor,6,111
VIATRA (Local Search),Inject,,railway-inject-8,2,SemaphoreNeighbor,1,21
VIATRA (Local Search),Inject,,railway-inject-8,2,SemaphoreNeighbor,2,55
VIATRA (Local Search),Inject,,railway-inject-8,2,SemaphoreNeighbor,3,99
VIATRA (Local Search),Inject,,railway-inject-8,2,SemaphoreNeighbor,4,129
VIATRA (Local Search),Inject,,railway-inject-8,2,SemaphoreNeighbor,5,155
VIATRA (Local Search),Inject,,railway-inject-8,2,SemaphoreNeighbor,6,149
VIATRA (Local Search),Inject,,railway-inject-8,2,SwitchSet,1,14
VIATRA (Local Search),Inject,,railway-inject-8,2,SwitchSet,2,18
VIATRA (Local Search),Inject,,railway-inject-8,2,SwitchSet,3,12
VIATRA (Local Search),Inject,,railway-inject-8,2,SwitchSet,4,4
VIATRA (Local Search),Inject,,railway-inject-8,2,SwitchSet,5,0
VIATRA (Local Search),Inject,,railway-inject-8,2,SwitchSet,6,0
VIATRA (Local Search),Inject,,railway-inject-8,2,SwitchMonitored,1,0
VIATRA (Local Search),Inject,,railway-inject-8,2,SwitchMonitored,2,10
VIATRA (Local Search),Inject,,railway-inject-8,2,SwitchMonitored,3,20
VIATRA (Local Search),Inject,,railway-inject-8,2,SwitchMonitored,4,29
VIATRA (Local Search),Inject,,railway-inject-8,2,SwitchMonitored,5,39
VIATRA (Local Search),Inject,,railway-inject-8,2,SwitchMonitored,6,46
VIATRA (Local Search),Inject,,railway-inject-8,3,ConnectedSegments,1,91
VIATRA (Local Search),Inject,,railway-inject-8,3,ConnectedSegments,2,101
VIATRA (Local Search),Inject,,railway-inject-8,3,ConnectedSegments,3,111
VIATRA (Local Search),Inject,,railway-inject-8,3,ConnectedSegments,4,121
VIATRA (Local Search),Inject,,railway-inject-8,3,ConnectedSegments,5,131
VIATRA (Local Search),Inject,,railway-inject-8,3,ConnectedSegments,6,141
VIATRA (Local Search),Inject,,railway-inject-8,3,PosLength,1,191
VIATRA (Local Search),Inject,,railway-inject-8,3,PosLength,2,201
VIATRA (Local Search),Inject,,railway-inject-8,3,PosLength,3,211
VIATRA (Local Search),Inject,,railway-inject-8,3,PosLength,4,221
VIATRA (Local Search),Inject,,railway-inject-8,3,PosLength,5,231
VIATRA (Local Search),Inject,,railway-inject-8,3,PosLength,6,241
VIATRA (Local Search),Inject,,railway-inject-8,3,RouteSensor,1,78
VIATRA (Local Search),Inject,,railway-inject-8,3,RouteSensor,2,88
VIATRA (Local Search),Inject,,railway-inject-8,3,RouteSensor,3,94
VIATRA (Local Search),Inject,,railway-inject-8,3,RouteSensor,4,100
VIATRA (Local Search),Inject,,railway-inject-8,3,RouteSensor,5,105
VIATRA (Local Search),Inject,,railway-inject-8,3,RouteSensor,6,111
VIATRA (Local Search),Inject,,railway-inject-8,3,SemaphoreNeighbor,1,21
VIATRA (Local Search),Inject,,railway-inject-8,3,SemaphoreNeighbor,2,55
