Tool,Workload,Description,Model,Run,Query,Iteration,Matches
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,ConnectedSegments,2,5732
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,ConnectedSegments,3,5159
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,ConnectedSegments,4,4644
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,ConnectedSegments,5,4180
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,ConnectedSegments,6,3762
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,PosLength,1,64211
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,PosLength,2,57737
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,PosLength,3,51919
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,PosLength,4,46691
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,PosLength,5,41989
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,PosLength,6,37762
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,RouteSensor,1,10387
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,RouteSensor,2,9410
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,RouteSensor,3,8524
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,RouteSensor,4,7722
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,RouteSensor,5,6995
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,RouteSensor,6,6336
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SemaphoreNeighbor,1,1596
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SemaphoreNeighbor,2,1002
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SemaphoreNeighbor,3,657
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SemaphoreNeighbor,4,471
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SemaphoreNeighbor,5,340
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SemaphoreNeighbor,6,239
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SwitchSet,1,1990
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SwitchSet,2,1962
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SwitchSet,3,1825
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SwitchSet,4,1699
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SwitchSet,5,1564
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SwitchSet,6,1443
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SwitchMonitored,1,618
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SwitchMonitored,2,557
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SwitchMonitored,3,502
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SwitchMonitored,4,452
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SwitchMonitored,5,407
Neo4j (Core API-CSV),Repair,,railway-repair-512,5,SwitchMonitored,6,367
